,S.NO,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,PLOT,WOOD.DENSITY,BA,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha
107,107,Tectona grandis,18.5,9.96,7.1,P5,0.615,0.00779127544460883,64.1680752670005,0.0641680752670006,42.778716844667,0.042778716844667,30.1589953754903,0.0301589953754903,28.5191445631114,0.0285191445631114
108,108,Tectona grandis,17.2,8.82,6.3,P5,0.615,0.00610980080862797,47.1397874055564,0.0471397874055564,31.4265249370376,0.0314265249370376,22.1557000806115,0.0221557000806115,20.9510166246917,0.0209510166246917
109,109,Tectona grandis,15.1,6.14,3.7,P6,0.615,0.00296091966008184,20.4712017420092,0.0204712017420092,13.6474678280062,0.0136474678280062,9.62146481874434,0.00962146481874434,9.09831188533744,0.00909831188533744
110,110,Tectona grandis,12.7,6.37,4.2,P6,0.615,0.00318690227363619,18.5758964215365,0.0185758964215365,12.383930947691,0.012383930947691,8.73067131812215,0.00873067131812215,8.25595396512733,0.00825595396512733
111,111,Tectona grandis,15,6.56,4.5,P6,0.615,0.00337985104043804,23.1429405922146,0.0231429405922146,15.4286270614764,0.0154286270614764,10.8771820783409,0.0108771820783409,10.2857513743176,0.0102857513743176
112,112,Tectona grandis,11,6.08,3.6,P6,0.615,0.00290333426674154,14.7413149374058,0.0147413149374058,9.8275432916039,0.0098275432916039,6.92841802058075,0.00692841802058075,6.55169552773593,0.00655169552773593
113,113,Tectona grandis,10.4,6.21,3.8,P6,0.615,0.00302881733130755,14.5444237748647,0.0145444237748647,9.69628251657647,0.00969628251657647,6.83587917418641,0.00683587917418641,6.46418834438431,0.00646418834438431
114,114,Tectona grandis,13,5.54,3.5,P6,0.615,0.00241051262717291,14.4709468968772,0.0144709468968772,9.64729793125146,0.00964729793125146,6.80134504153228,0.00680134504153228,6.43153195416764,0.00643153195416764
115,115,Tectona grandis,13.1,5.86,3.5,P6,0.615,0.0026970258771803,16.2685972678717,0.0162685972678717,10.8457315119144,0.0108457315119144,7.64624071589968,0.00764624071589968,7.23048767460962,0.00723048767460962
116,116,Tectona grandis,12,6.24,4,P6,0.615,0.00305815195271045,16.8825635204538,0.0168825635204538,11.2550423469692,0.0112550423469692,7.93480485461328,0.00793480485461328,7.50336156464613,0.00750336156464613
117,117,Tectona grandis,16.3,6.75,4.5,P6,0.615,0.00357847038197962,26.5370867212337,0.0265370867212337,17.6913911474891,0.0176913911474891,12.4724307589798,0.0124724307589798,11.7942607649927,0.0117942607649927
118,118,Tectona grandis,12.7,5.98,3.05,P6,0.615,0.00280861524823581,16.4206490793557,0.0164206490793557,10.9470993862371,0.0109470993862371,7.71770506729716,0.00771770506729716,7.29806625749141,0.00729806625749141
119,119,Tectona grandis,14,6.27,4.6,P6,0.615,0.00308762794578275,19.8081711464183,0.0198081711464183,13.2054474309455,0.0132054474309455,9.30984043881658,0.00930984043881658,8.80363162063034,0.00880363162063034
120,120,Tectona grandis,16.8,7.51,6.05,P6,0.615,0.00442965349554324,33.6595412957099,0.0336595412957099,22.4396941971399,0.0224396941971399,15.8199844089837,0.0158199844089837,14.9597961314266,0.0149597961314266
121,121,Tectona grandis,10.7,5.51,3.1,P6,0.615,0.00238447667805629,11.8403261419763,0.0118403261419763,7.89355076131753,0.00789355076131753,5.56495328672886,0.00556495328672886,5.26236717421169,0.00526236717421169
122,122,Tectona grandis,10,5.76,3.9,P6,0.615,0.00260576261059352,12.086536415337,0.012086536415337,8.05769094355799,0.00805769094355799,5.68067211520838,0.00568067211520838,5.37179396237199,0.00537179396237199
123,123,Tectona grandis,16.2,6.43,4.7,P6,0.615,0.00324722085258512,23.9922871476222,0.0239922871476222,15.9948580984148,0.0159948580984148,11.2763749593824,0.0112763749593824,10.6632387322765,0.0106632387322765
